id	created_at	updated_at	id_usuario	id_tema	bajo	regular	bueno
2158	NULL	NULL	121	26	10	20	70
2159	NULL	NULL	121	12	0	20	80
2160	NULL	NULL	121	37	5	15	80
2161	NULL	NULL	121	35	5	20	75
2162	NULL	NULL	121	6	0	10	90
2163	NULL	NULL	121	7	0	20	80
2164	NULL	NULL	121	81	0	10	90
2165	NULL	NULL	121	36	20	30	50
2166	NULL	NULL	121	8	10	20	70
2167	NULL	NULL	121	9	5	15	80
2168	NULL	NULL	121	80	20	20	60
2169	NULL	NULL	121	11	5	15	80
2170	NULL	NULL	121	25	10	30	60
2171	NULL	NULL	121	170	20	40	40
2172	NULL	NULL	121	39	0	40	60
2173	NULL	NULL	121	99	0	15	85
2174	NULL	NULL	121	161	30	30	40
2175	NULL	NULL	121	34	5	15	80
2176	NULL	NULL	121	33	0	10	90
2177	NULL	NULL	121	27	10	30	60
2178	NULL	NULL	121	100	10	30	60
2179	NULL	NULL	121	29	5	15	80
2180	NULL	NULL	121	28	0	15	85
2181	NULL	NULL	121	166	20	20	60
2182	NULL	NULL	121	167	10	30	60
2183	NULL	NULL	121	30	10	50	40
2184	NULL	NULL	121	168	10	30	60
2185	NULL	NULL	121	101	10	50	40
2186	NULL	NULL	121	95	15	25	60
2187	NULL	NULL	121	31	25	25	50
2188	NULL	NULL	121	169	20	30	50
2189	NULL	NULL	121	96	20	50	30
2190	NULL	NULL	121	97	5	20	75
2191	NULL	NULL	121	32	10	40	50
2192	NULL	NULL	121	98	20	35	45
2193	NULL	NULL	121	186	30	40	30
2194	NULL	NULL	121	10	40	30	30
2195	NULL	NULL	121	71	40	30	30
2196	NULL	NULL	121	72	50	30	20
2197	NULL	NULL	121	73	50	30	20
2198	NULL	NULL	121	76	50	30	20
2199	NULL	NULL	121	75	55	25	20
2200	NULL	NULL	121	74	50	30	20
2201	NULL	NULL	121	77	50	30	20
2202	NULL	NULL	121	187	60	20	20
2203	NULL	NULL	121	24	20	40	40
2204	NULL	NULL	121	82	10	40	50
2205	NULL	NULL	121	78	10	30	60
2206	NULL	NULL	121	83	10	30	60
2207	NULL	NULL	121	79	20	40	40
2208	NULL	NULL	121	86	10	30	60
2209	NULL	NULL	121	88	20	20	60
2210	NULL	NULL	121	163	20	30	50
2211	NULL	NULL	121	91	20	50	30
2212	NULL	NULL	121	165	20	50	30
2213	NULL	NULL	121	164	5	35	60
2214	NULL	NULL	121	53	10	50	40
2215	NULL	NULL	121	19	10	50	40
2216	NULL	NULL	121	54	15	60	25
2217	NULL	NULL	121	55	20	50	30
2219	NULL	NULL	121	57	20	60	20
2220	NULL	NULL	121	58	15	75	10
2221	NULL	NULL	121	60	10	50	40
2222	NULL	NULL	121	59	20	60	20
2223	NULL	NULL	121	188	10	65	25
2224	NULL	NULL	121	189	10	50	40
2225	NULL	NULL	121	190	20	50	30
2226	NULL	NULL	121	23	10	50	40
2227	NULL	NULL	121	181	10	20	70
2228	NULL	NULL	121	61	10	30	60
2229	NULL	NULL	121	182	20	30	50
2230	NULL	NULL	121	62	15	35	50
2231	NULL	NULL	121	183	0	30	70
2232	NULL	NULL	121	63	10	25	65
2233	NULL	NULL	121	184	15	60	25
2235	NULL	NULL	121	185	20	45	35
2236	NULL	NULL	121	172	5	25	70
2237	NULL	NULL	121	173	10	30	60
