ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
86,4,10.9375,100,3,2,"100,0,0","25.023299016508293,28.872606924117143,46.10409405937456","62.511649508254145,14.436303462058572,23.05204702968728",-1.62857143,1,0.25023299016508294,1,-1
183,4,6.25,6.25,2,0,"100,0,0","21.780202338193497,28.042824266010776,50.176973395795734","60.890261311622936,14.021897998414232,25.08784068996283",-0.77142857,1,0.21780202338193497,1,-1
193,1,0,0,1,-1,"0,0,0","32.085218508153325,38.901580876315464,29.013200615531222","0,0,0",1.54285714,1,0.32085218508153324,1,-1
199,1,0,0,1,-1,"0,0,0","29.76002534890412,39.108211983283674,31.131762667812207","0,0,0",2.14285714,1,0.2976002534890412,1,-1
205,1,0,0,1,-1,"0,0,0","31.86001241058001,39.206401331645246,28.933586257774742","0,0,0",2.65714286,1,0.3186001241058001,1,-1
8,4,72.63020833333333,100,16,2,"0,100,0","9.15064923013409,10.986965715940416,79.8623850539255","4.57532461509805,55.4934828579364,39.93119252696555",-2.74285714,1,0.09150649230134089,1,-1
9,1,0,100,1,2,"0,0,0","16.989292114208173,27.67870159684827,55.33200628894356","0,0,0",-2.74285714,1,0.16989292114208174,1,-1
36,3,100,334.375,15,2,"0,0,100","22.115421451431455,22.100778630324843,55.7837999182437","11.05771072575344,11.050389315096517,77.89189995915004",-2.14285714,1,0.22115421451431455,1,7
41,1,0,0,1,-1,"0,0,0","23.959783058096356,35.38583959395912,40.65437734794454","0,0,0",1.45714286,1,0.23959783058096357,1,-1
55,4,25.0,25.0,2,0,"100,0,0","28.97183207497232,36.08932516494052,34.938842760087155","64.36867250685751,18.13081543902611,17.500512054116378",0.68571429,1,0.2897183207497232,1,-1
62,1,0,0,1,-1,"0,0,0","26.13930175266465,24.02582257626521,49.83487567107014","0,0,0",-0.85714286,1,0.2613930175266465,1,-1
71,1,0,0,1,-1,"0,0,0","38.23430087353378,28.034400314791014,33.7312988116752","0,0,0",0,1,0.38234300873533783,1,-1
79,3,50,100,2,2,"100,0,0","23.741528075864153,37.901724801120075,38.356747123015765","61.87076403793208,18.950862400560037,19.178373561507883",-1.71428571,1,0.23741528075864152,1,9
81,4,18.625,100,3,2,"100,0,0","12.951973575201803,18.528841938802803,68.51918448599538","56.4759867876009,9.264420969401401,34.25959224299769",-1.28571429,1,0.12951973575201803,1,-1
83,4,21.875,100,3,2,"100,0,0","23.847870190349497,34.250538952260854,41.90159085738965","61.92393509517475,17.125269476130427,20.950795428694825",-1.71428571,1,0.23847870190349496,1,-1
182,4,12.5,12.5,2,0,"100,0,0","24.901329195605655,25.234964318225472,49.863706486168866","62.08750000014558,13.020949999987105,24.891549999867312",-0.85714286,1,0.24901329195605654,1,-1
198,1,0,0,1,-1,"0,0,0","44.09724337449948,30.84391981325255,25.05883681224797","0,0,0",2.05714286,1,0.4409724337449948,1,-1
204,1,0,0,1,-1,"0,0,0","26.05124082699673,32.32737120338655,41.62138796961672","0,0,0",2.57142857,1,0.2605124082699673,1,-1
6,3,75,100,1,2,"0,100,0","0.7049633910466439,5.1568429167682766,94.13819369218508","0.3524816951961185,52.57842146779264,47.069096837011244",-2.82857143,1,0.007049633910466439,1,1
7,1,0,100,1,2,"0,0,0","17.168779725810975,23.976682526728272,58.85453774746075","0,0,0",-2.82857143,1,0.17168779725810976,1,-1
10,1,0,0,1,-1,"0,0,0","40.149719309100746,21.954673242014668,37.89560744888458","0,0,0",-0.08571429,1,0.40149719309100745,1,-1
35,4,100.0,100,2,2,"0,0,100","21.516076203030547,25.215924255950643,53.26799954101881","10.758038092312662,12.607962128783178,76.63399977890415",-2.82857143,1,0.21516076203030546,1,-1
37,4,100.0,400,5,2,"0,0,100","7.04021616023741,18.482452401653184,74.4773314381094","3.5201080870179333,9.241226209716151,87.23866570326591",-2.82857143,1,0.0704021616023741,1,-1
54,3,50,0,1,0,"100,0,0","31.086060423102452,33.94807773578702,34.96586184111054","100.0,0.0,0.0",0.6,1,0.3108606042310245,1,0
61,1,0,0,1,-1,"0,0,0","18.99607710043259,24.960590367635138,56.043332531932265","0,0,0",-0.94285714,1,0.1899607710043259,1,-1
78,3,37,100,4,2,"100,0,0","24.77869992491035,33.70970012549897,41.51159994959068","62.38934996245517,16.854850062749485,20.75579997479534",-1.8,1,0.2477869992491035,1,11
82,3,50,100,1,2,"100,0,0","20.829562694839503,38.47026939853227,40.700167906628224","60.41478134741975,19.235134699266133,20.350083953314112",-1.8,1,0.208295626948395,1,6
181,3,25,0,1,0,"100,0,0","8.980677883243244,26.186755234021454,64.83256688273529","100.0,0.0,0.0",-0.94285714,1,0.08980677883243243,1,2
192,1,0,0,1,-1,"0,0,0","34.21562922975965,33.990435972079865,31.793934798160485","0,0,0",1.37142857,1,0.3421562922975965,1,-1
197,1,0,0,1,-1,"0,0,0","30.400141047971125,37.77371446427542,31.82614448775345","0,0,0",1.97142857,1,0.30400141047971124,1,-1
203,1,0,0,1,-1,"0,0,0","20.085016690497078,36.08528213494203,43.829701174560896","0,0,0",2.48571429,1,0.2008501669049708,1,-1
12,1,0,100,1,2,"0,0,0","12.935043670714453,21.902182701167423,65.16277362811813","0,0,0",-2.91428571,1,0.12935043670714452,1,-1
19,4,62.5,125.0,3,0,"100,0,0","21.107907644729167,35.08440790290544,43.807684452365386","60.530609188574104,17.49019688752867,21.979193923897228",0.51428571,1,0.21107907644729168,1,-1
23,4,31.25,62.5,3,0,"100,0,0","20.93004743877546,31.233411175717755,47.836541385506784","60.26776848913154,15.915526113622528,23.816705397245926",-1.02857143,1,0.2093004743877546,1,-1
24,3,75,100,3,2,"0,100,0","0.0,100.0,0.0","0.0,100.0,0.0",-1.88571429,1,0.0,1,8
26,4,98.95833333333333,593.75,7,2,"0,0,100","27.191375581695095,24.744955793945568,48.06366862435934","13.595685221623494,12.372476255720919,74.03183852265559",-2.91428571,1,0.27191375581695093,1,-1
53,1,0,0,1,-1,"0,0,0","33.8905032504316,33.939615674344076,32.169881075224325","0,0,0",0.51428571,1,0.338905032504316,1,-1
94,1,0,100,1,2,"0,0,0","29.78712143906729,44.21413542688089,25.99874313405183","0,0,0",-2.91428571,1,0.2978712143906729,1,-1
186,1,0,0,1,-1,"0,0,0","42.22597277318042,34.01073416118061,23.763293065638972","0,0,0",-0.17142857,1,0.42225972773180426,1,-1
191,1,0,0,1,-1,"0,0,0","23.082494767338176,38.788160985223946,38.12934424743787","0,0,0",1.28571429,1,0.23082494767338177,1,-1
196,1,0,0,1,-1,"0,0,0","34.96419937676797,34.03784138809286,30.99795923513916","0,0,0",1.88571429,1,0.34964199376767974,1,-1
202,1,0,0,1,-1,"0,0,0","34.99300807988824,29.737983687011653,35.26900823310011","0,0,0",2.4,1,0.34993008079888244,1,-1
2,4,95.703125,669.921875,8,2,"0,0,100","28.09856185783503,31.02634212527936,40.8750960168856","14.049280928917515,15.51317106263968,70.4375480084428",-1.97142857,1,0.2809856185783503,1,-1
13,4,97.65625,97.65625,2,2,"0,0,100","32.20548416157346,34.9014281754383,32.893087662988236","16.10274574715284,17.450745403812817,66.44650884903434",-2.31428571,1,0.3220548416157346,1,-1
14,4,75.732421875,605.859375,9,1,"0,100,0","29.5733244660141,33.22177578034681,37.20489975363909","14.78666223300705,66.6108878901734,18.602449876819545",-2.14285714,1,0.295733244660141,1,-1
17,4,78.125,156.25,3,1,"0,100,0","30.085196540532465,35.78042765250504,34.1343758069625","15.042494522705823,67.89053677120991,17.06696870608426",-2.22857143,1,0.30085196540532466,1,-1
20,4,39.0625,78.125,3,0,"100,0,0","29.997033875533987,34.00849548221766,35.99447064224836","64.99772774576883,17.005041207712033,17.99723104651913",-2.14285714,1,0.29997033875533985,1,-1
40,1,0,0,1,-1,"0,0,0","30.066578072083054,35.919310178285215,34.01411174963174","0,0,0",-2.4,1,0.30066578072083056,1,-1
51,1,0,0,1,-1,"0,0,0","33.00982749985105,36.85921374330549,30.130958756843473","0,0,0",-2.48571429,1,0.33009827499851047,1,-1
52,1,0,0,1,-1,"0,0,0","30.027607250433856,37.8990408518914,32.07335189767475","0,0,0",-2.31428571,1,0.3002760725043386,1,-1
1,4,88.05803571428571,616.40625,8,2,"0,0,100","29.876194043624366,34.81489807057348,35.30890788580216","14.938097021812183,17.40744903528674,67.65445394290109",-3,1,0.29876194043624366,1,-1
